id,title,published_at,url,comments_count,positive_reactions_count,tag_list,user.username
2773621,Build Google Chat apps as Google Workspace Add-ons,2025-08-14T09:45:32Z,https://dev.to/googleworkspace/build-google-chat-apps-as-google-workspace-add-ons-3lc1,1,1,"['chat', 'googleworkspace', 'google']",jpoehnelt
2780534,Why I Stopped Using React (And You Should Too) 🔥,2025-08-18T09:54:38Z,https://dev.to/shiva_shanker_k/why-i-stopped-using-react-and-you-should-too-6lf,40,61,"['react', 'svelte', 'performance', 'discuss']",shiva_shanker_k
2787199,Gating entrances with Stripe and NFC passes,2025-08-21T10:24:05Z,https://dev.to/joshnuss/gating-entrances-with-stripe-and-nfc-passes-43na,8,7,"['stripe', 'javascript', 'typescript', 'raspberrypi']",joshnuss
2758951,My AI Co-Pilot Has No Common Sense,2025-08-07T20:40:31Z,https://dev.to/henk_van_hoek/my-ai-co-pilot-has-no-common-sense-j7f,16,27,"['ai', 'development', 'programming', 'productivity']",henk_van_hoek
2774434,I'm Building an AI Agent to Write My Unit Tests,2025-08-14T17:26:47Z,https://dev.to/herchila/im-building-an-ai-agent-to-write-my-unit-tests-2493,6,14,"['ai', 'python', 'opensource', 'showdev']",herchila
2746412,Programming Is Becoming Prompting,2025-08-01T15:24:47Z,https://dev.to/holasoymalva/programming-is-becoming-prompting-2odn,51,115,"['ai', 'programming', 'python', 'discuss']",holasoymalva
2783568,Top 7 Featured DEV Posts of the Week,2025-08-19T16:56:58Z,https://dev.to/devteam/top-7-featured-dev-posts-of-the-week-54fg,9,33,"['top7', 'discuss']",jess
2760635,Svelte + Flexmonster Pivot: Building an Interactive Dashboard of World Happiness,2025-08-12T09:17:52Z,https://dev.to/daria_filozop_bfe6aa68940/svelte-flexmonster-pivot-pivot-building-an-interactive-dashboard-of-world-happiness-5344,3,37,"['frontend', 'svelte', 'analytics', 'webdev']",daria_filozop_bfe6aa68940
2771744,Turning My Obsidian Vault Into a Searchable Wiki With Spring Boot and MongoDB,2025-08-13T10:31:36Z,https://dev.to/mongodb/turning-my-obsidian-vault-into-a-searchable-wiki-with-spring-boot-ef8,0,16,"['mongodb', 'spring', 'java', 'search']",timkelly
2749266,11 Months as a Self-Taught Developer – What Have I Learned?,2025-08-03T10:43:56Z,https://dev.to/cristea_theodora_6200140b/11-months-as-a-self-taught-developer-what-have-i-learned-g8p,43,92,"['beginners', 'programming', 'webdev', 'discuss']",cristea_theodora_6200140b
2769731,Building branchyard: How I Learned to Stop Worrying and Love Git Worktrees,2025-08-12T12:13:37Z,https://dev.to/sivarampg/building-branchyard-how-i-learned-to-stop-worrying-and-love-git-worktrees-3baf,1,9,"['git', 'ai', 'webdev', 'programming']",sivarampg
2761596,Making New Languages Click with LLMs,2025-08-12T07:11:00Z,https://dev.to/puritanic/making-new-languages-click-with-llms-20e5,1,1,"['programming', 'ai', 'llm', 'productivity']",puritanic
2758593,Congrats to the AssemblyAI Voice Agents Challenge Winners!,2025-08-07T16:37:17Z,https://dev.to/devteam/congrats-to-the-assemblyai-voice-agents-challenge-winners-1ppk,24,107,"['devchallenge', 'assemblyaichallenge', 'ai', 'api']",jess
2785453,Constant Refactoring: Refactoring my refactored Website,2025-08-20T14:38:44Z,https://dev.to/ingosteinke/constant-refactoring-refactoring-my-refactored-website-4pf,11,20,"['webdev', 'programming', 'productivity']",ingosteinke
2797297,"At 33, Baby on the Way, No Plan: How I Became a Developer",2025-08-25T09:34:44Z,https://dev.to/ospehlivano/at-33-baby-on-the-way-no-plan-how-i-became-a-developer-7n3,16,15,"['webdev', 'javascript', 'career', 'beginners']",ospehlivano
2729716,Introducing the dev.to MCP server,2025-07-29T03:55:35Z,https://dev.to/nickytonline/introducing-the-devto-mcp-server-42jg,27,74,"['mcp', 'agenticai', 'devto', 'ai']",nickytonline
2771927,From School Desk to Code Editor — My Journey at 16 🚀,2025-08-13T11:50:11Z,https://dev.to/pjdeveloper896/from-school-desk-to-code-editor-my-journey-at-16-44an,8,12,"['webdev', 'programming', 'beginners', 'discuss']",pjdeveloper896
2758599,How to Run Your Own OpenAI GPT OSS Server for Fun and Profit,2025-08-07T16:40:20Z,https://dev.to/pullflow/how-to-run-your-own-openai-gpt-oss-server-for-fun-and-profit-1amj,7,23,"['productivity', 'beginners', 'tutorial', 'chatgpt']",zak_mandhro
2754085,Top 7 Featured DEV Posts of the Week,2025-08-05T17:10:27Z,https://dev.to/devteam/top-7-featured-dev-posts-of-the-week-4pmf,6,46,"['top7', 'discuss']",jess
2790267,New Demo Videos from the n8n and Bright Data Teams for the Real-Time AI Agents Challenge!,2025-08-22T16:42:00Z,https://dev.to/devteam/new-demo-videos-from-the-n8n-and-bright-data-teams-for-the-real-time-ai-agents-challenge-3of3,6,18,"['devchallenge', 'n8nbrightdatachallenge', 'ai', 'data']",thepracticaldev
2756639,Claude Code vs Warp.dev vs Jetbrains Junie,2025-08-07T14:24:25Z,https://dev.to/wynandpieters/claude-code-vs-warpdev-vs-jetbrains-junie-5484,2,25,"['ai', 'programming', 'vibecoding', 'tooling']",wynandpieters
2759871,Thinking Clearly in Code: What Works for Me,2025-08-11T08:52:21Z,https://dev.to/puritanic/thinking-clearly-in-code-what-works-for-me-44ao,5,5,"['webdev', 'programming', 'productivity']",puritanic
2760097,GPT-5 is overrated but still good,2025-08-08T12:01:49Z,https://dev.to/kwnaidoo/gpt-5-is-overrated-but-still-good-4lch,4,19,"['programming', 'ai', 'productivity', 'news']",kwnaidoo
2774328,Congrats to the Frontend Challenge: Office Edition Winners!,2025-08-14T17:36:43Z,https://dev.to/devteam/congrats-to-the-frontend-challenge-office-edition-winners-30p9,32,107,"['frontendchallenge', 'devchallenge', 'webdev', 'css']",jess
2760867,GPT-5 Is Here: What It Really Means for Junior Developers (Like Me),2025-08-08T19:35:42Z,https://dev.to/talaamm/gpt-5-is-here-what-it-really-means-for-junior-developers-like-me-591k,6,24,"['ai', 'chatgpt', 'programming', 'webdev']",talaamm
2722576,Stop Skimming Documentation,2025-07-25T14:01:35Z,https://dev.to/kurealnum/stop-skimming-documentation-mbk,20,120,"['documentation', 'programming', 'productivity', 'learning']",kurealnum
2758351,"Speed Isn’t Just About Code, It’s About Where That Code Runs",2025-08-07T14:22:36Z,https://dev.to/sarah-railway/speed-isnt-just-about-code-its-about-where-that-code-runs-3do1,0,1,"['cloud', 'programming', 'devops']",sarah-railway
2770746,"Join the Midnight Network ""Privacy First"" Challenge: $5,000 in Prizes!",2025-08-20T14:45:35Z,https://dev.to/devteam/join-the-midnight-network-privacy-first-challenge-5000-in-prizes-3l45,10,94,"['devchallenge', 'midnightchallenge', 'web3', 'blockchain']",jess
2785499,Implementing MCP on Edge Devices,2025-08-20T14:23:02Z,https://dev.to/om_shree_0709/implementing-mcp-on-edge-devices-22hp,7,14,"['programming', 'ai', 'machinelearning', 'discuss']",om_shree_0709
2751565,Apple’s AI Power Move: Why AKI “Answers” Might Be Bigger Than ChatGPT,2025-08-04T14:56:46Z,https://dev.to/alifar/apples-ai-power-move-why-aki-answers-might-be-bigger-than-chatgpt-d80,3,45,"['answers', 'apple', 'aki', 'chatgpt']",alifar
2751166,I Finally Built the Coolest Retro Dev Portfolio Ever! (You Won’t Believe the Tech Behind It...),2025-08-04T12:05:48Z,https://dev.to/alishirani/i-finally-built-the-coolest-retro-dev-portfolio-ever-you-wont-believe-the-tech-behind-it-2k4f,2,19,"['webdev', 'programming', 'javascript', 'ai']",alishirani
2750525,The reality of Open Source,2025-08-04T09:27:05Z,https://dev.to/jacobandrewsky/the-reality-of-open-source-45dg,0,22,"['opensource', 'webdev', 'programming', 'beginners']",jacobandrewsky
2742586,“Why Learn C” Book Announcement,2025-07-31T04:21:47Z,https://dev.to/pauljlucas/why-learn-c-book-announcement-4a01,15,35,['c'],pauljlucas
2771747,"Day 64: When Professors Forget They're Teachers, Not Gatekeepers",2025-08-13T10:13:14Z,https://dev.to/casperday11/day-64-when-professors-forget-theyre-teachers-not-gatekeepers-e58,12,14,"['webdev', 'programming', 'ai', 'productivity']",casperday11
2758624,GPT-5 Just Dropped. Here's Why Your Automation Stack Is Already Outdated,2025-08-07T16:57:37Z,https://dev.to/alifar/gpt-5-just-dropped-heres-why-your-automation-stack-is-already-outdated-2lmj,8,57,"['gpt5', 'automation', 'openai', 'aiagents']",alifar
2751782,Gemini: Formula E Driver Agent 🏎️,2025-08-04T16:45:32Z,https://dev.to/googleworkspace/gemini-formula-e-driver-agent-50hp,0,10,"['gemini', 'ai', 'cloudsummitlondon', 'googleworkspace']",jpoehnelt
2770263,Top 7 Featured DEV Posts of the Week,2025-08-12T16:00:30Z,https://dev.to/devteam/top-7-featured-dev-posts-of-the-week-f0f,11,35,"['top7', 'discuss']",jess
2579593,What was your win this week?!,2025-08-22T04:00:00Z,https://dev.to/devteam/what-was-your-win-this-week-1ack,40,19,"['weeklyretro', 'discuss']",jess
2749037,"Hi everyone, I'm a beginner in React. I created a component,but its can't emport,can help enyone",2025-08-03T07:30:03Z,https://dev.to/savinder_kour_3b73c291978/hi-everyone-im-a-beginner-in-react-i-created-a-componentbut-its-cant-emportcan-help-enyone-456a,7,3,"['react', 'beginners', 'help', 'discuss']",savinder_kour_3b73c291978
2579588,What was your win this week?,2025-08-08T04:00:00Z,https://dev.to/devteam/what-was-your-win-this-week-3856,27,26,"['weeklyretro', 'discuss']",jess
2677691,Who's hiring — August 2025,2025-07-31T22:00:00Z,https://dev.to/fmerian/whos-hiring-august-2025-4g8h,10,17,"['career', 'devrel', 'writing', 'opensource']",fmerian
2724740,Using GitHub Copilot to Manage Issues (and Save Time),2025-07-31T22:10:32Z,https://dev.to/sarahcssiqueira/using-github-copilot-to-manage-issues-and-save-time-3549,3,9,"['githubcopilot', 'productivity', 'opensource', 'management']",sarahcssiqueira
